mV,timestamp,plant_id
0.08017006,2024-02-19 19:05:00.000,CdRM-t0-bcc86b-5
0.11818242,2024-02-19 19:10:00.000,CdRM-t0-bcc86b-5
-0.5518311,2024-02-19 19:15:00.000,CdRM-t0-bcc86b-5
-1.0208981,2024-02-19 19:20:00.000,CdRM-t0-bcc86b-5
-1.813697,2024-02-19 19:25:00.000,CdRM-t0-bcc86b-5
-1.5874355,2024-02-19 19:30:00.000,CdRM-t0-bcc86b-5
-1.2211839,2024-02-19 19:35:00.000,CdRM-t0-bcc86b-5
-0.92120147,2024-02-19 19:40:00.000,CdRM-t0-bcc86b-5
-0.7008044,2024-02-19 19:45:00.000,CdRM-t0-bcc86b-5
-0.6625816,2024-02-19 19:50:00.000,CdRM-t0-bcc86b-5
-1.0906494,2024-02-19 19:55:00.000,CdRM-t0-bcc86b-5
-1.3779551,2024-02-19 20:00:00.000,CdRM-t0-bcc86b-5
-0.03252708,2024-02-19 20:05:00.000,CdRM-t0-bcc86b-5
0.51505756,2024-02-19 20:10:00.000,CdRM-t0-bcc86b-5
0.55838645,2024-02-19 20:15:00.000,CdRM-t0-bcc86b-5
-0.17330639,2024-02-19 20:20:00.000,CdRM-t0-bcc86b-5
-3.2609255,2024-02-19 20:25:00.000,CdRM-t0-bcc86b-5
-2.2307558,2024-02-19 20:30:00.000,CdRM-t0-bcc86b-5
-1.7460189,2024-02-19 20:35:00.000,CdRM-t0-bcc86b-5
-1.6882644,2024-02-19 20:40:00.000,CdRM-t0-bcc86b-5
-1.6291218,2024-02-19 20:45:00.000,CdRM-t0-bcc86b-5
-1.2011179,2024-02-19 20:50:00.000,CdRM-t0-bcc86b-5
-1.2821354,2024-02-19 20:55:00.000,CdRM-t0-bcc86b-5
-1.6339889,2024-02-19 21:00:00.000,CdRM-t0-bcc86b-5
-1.7894238,2024-02-19 21:05:00.000,CdRM-t0-bcc86b-5
-1.9212611,2024-02-19 21:10:00.000,CdRM-t0-bcc86b-5
-1.3997533,2024-02-19 21:15:00.000,CdRM-t0-bcc86b-5
-1.2048502,2024-02-19 21:20:00.000,CdRM-t0-bcc86b-5
-1.0719082,2024-02-19 21:25:00.000,CdRM-t0-bcc86b-5
-1.1782485,2024-02-19 21:30:00.000,CdRM-t0-bcc86b-5
-1.1110867,2024-02-19 21:35:00.000,CdRM-t0-bcc86b-5
-1.3111552,2024-02-19 21:40:00.000,CdRM-t0-bcc86b-5
-1.6867985,2024-02-19 21:45:00.000,CdRM-t0-bcc86b-5
-1.4902259,2024-02-19 21:50:00.000,CdRM-t0-bcc86b-5
-1.4977771,2024-02-19 21:55:00.000,CdRM-t0-bcc86b-5
-1.377374,2024-02-19 22:00:00.000,CdRM-t0-bcc86b-5
-1.2821609,2024-02-19 22:05:00.000,CdRM-t0-bcc86b-5
-1.6569232,2024-02-19 22:10:00.000,CdRM-t0-bcc86b-5
-1.7054071,2024-02-19 22:15:00.000,CdRM-t0-bcc86b-5
-1.349871,2024-02-19 22:20:00.000,CdRM-t0-bcc86b-5
-0.9312214,2024-02-19 22:25:00.000,CdRM-t0-bcc86b-5
-1.322483,2024-02-19 22:30:00.000,CdRM-t0-bcc86b-5
-1.092251,2024-02-19 22:35:00.000,CdRM-t0-bcc86b-5
-1.2043426,2024-02-19 22:40:00.000,CdRM-t0-bcc86b-5
-2.1075797,2024-02-19 22:45:00.000,CdRM-t0-bcc86b-5
-1.7551684,2024-02-19 22:50:00.000,CdRM-t0-bcc86b-5
-2.4296324,2024-02-19 22:55:00.000,CdRM-t0-bcc86b-5
-2.5861707,2024-02-19 23:00:00.000,CdRM-t0-bcc86b-5
-2.607825,2024-02-19 23:05:00.000,CdRM-t0-bcc86b-5
-2.6051679,2024-02-19 23:10:00.000,CdRM-t0-bcc86b-5
-3.0548584,2024-02-19 23:15:00.000,CdRM-t0-bcc86b-5
-3.323088,2024-02-19 23:20:00.000,CdRM-t0-bcc86b-5
-3.9208426,2024-02-19 23:25:00.000,CdRM-t0-bcc86b-5
-4.249008,2024-02-19 23:30:00.000,CdRM-t0-bcc86b-5
-4.1748214,2024-02-19 23:35:00.000,CdRM-t0-bcc86b-5
-4.454836,2024-02-19 23:40:00.000,CdRM-t0-bcc86b-5
-4.098901,2024-02-19 23:45:00.000,CdRM-t0-bcc86b-5
-4.212132,2024-02-19 23:50:00.000,CdRM-t0-bcc86b-5
-4.360491,2024-02-19 23:55:00.000,CdRM-t0-bcc86b-5
-4.470214,2024-02-19 23:59:59.933,CdRM-t0-bcc86b-5
-4.502846,2024-02-20 00:05:02.202,CdRM-t0-bcc86b-5
-4.97014,2024-02-20 00:10:02.202,CdRM-t0-bcc86b-5
-4.6277423,2024-02-20 00:15:02.202,CdRM-t0-bcc86b-5
-4.6154013,2024-02-20 00:20:02.202,CdRM-t0-bcc86b-5
-4.7285733,2024-02-20 00:25:02.202,CdRM-t0-bcc86b-5
-5.315564,2024-02-20 00:30:02.202,CdRM-t0-bcc86b-5
-5.705789,2024-02-20 00:35:02.202,CdRM-t0-bcc86b-5
-5.0543327,2024-02-20 00:40:02.202,CdRM-t0-bcc86b-5
-6.135202,2024-02-20 00:45:02.202,CdRM-t0-bcc86b-5
-6.362244,2024-02-20 00:50:02.202,CdRM-t0-bcc86b-5
-5.477922,2024-02-20 00:55:02.202,CdRM-t0-bcc86b-5
-5.3131104,2024-02-20 01:00:02.202,CdRM-t0-bcc86b-5
-5.5086765,2024-02-20 01:05:02.202,CdRM-t0-bcc86b-5
-5.177932,2024-02-20 01:10:02.202,CdRM-t0-bcc86b-5
-5.188298,2024-02-20 01:15:02.202,CdRM-t0-bcc86b-5
-5.011364,2024-02-20 01:20:02.202,CdRM-t0-bcc86b-5
-4.6401,2024-02-20 01:25:02.202,CdRM-t0-bcc86b-5
-4.4805617,2024-02-20 01:30:02.202,CdRM-t0-bcc86b-5
-4.5683618,2024-02-20 01:35:02.202,CdRM-t0-bcc86b-5
-5.221094,2024-02-20 01:40:02.202,CdRM-t0-bcc86b-5
-5.155412,2024-02-20 01:45:02.202,CdRM-t0-bcc86b-5
-6.488571,2024-02-20 01:50:02.202,CdRM-t0-bcc86b-5
-8.643339,2024-02-20 01:55:02.202,CdRM-t0-bcc86b-5
-6.829502,2024-02-20 02:00:02.202,CdRM-t0-bcc86b-5
-6.189823,2024-02-20 02:05:02.202,CdRM-t0-bcc86b-5
-5.7780113,2024-02-20 02:10:02.202,CdRM-t0-bcc86b-5
-5.508772,2024-02-20 02:15:02.202,CdRM-t0-bcc86b-5
