RespondentNr,StimulusNr,timestamp ms,Gaze x %,Gaze y %
0,0,93,0.457,0.373
0,0,293,0.481,0.489
0,0,343,0.512,0.728
0,0,476,0.449,0.596
0,0,627,0.348,0.434
0,0,709,0.354,0.923
0,0,793,0.379,0.769
0,0,910,0.406,0.636
0,0,1027,0.397,0.579
0,0,1343,0.351,0.484
0,0,1593,0.326,0.46
0,0,1626,0.315,0.451
0,0,1660,0.318,0.44
0,0,1693,0.317,0.423
0,0,2227,0.316,0.444
0,0,2260,0.292,0.495
0,0,2527,0.355,0.513
0,0,2710,0.563,0.513
0,0,3227,0.419,0.68
0,0,3310,0.231,0.723
0,0,3560,0.198,0.657
0,0,3742,0.209,0.638
0,0,3860,0.23,0.629
0,0,4127,0.264,0.599
0,0,4226,0.285,0.561
0,0,4493,0.289,0.524
0,0,4760,0.281,0.511
0,0,5027,0.269,0.505
0,0,5559,0.283,0.489
0,0,5827,0.486,0.894
0,0,6093,0.718,0.47
0,0,6194,0.747,0.473
0,0,6260,0.765,0.493
0,0,6326,0.781,0.479
0,0,6360,0.798,0.461
0,0,6627,0.805,0.3
0,0,6893,0.793,0.129
0,0,7159,0.724,0.115
0,0,7409,0.619,0.124
0,0,7660,0.642,0.171
0,0,7776,0.638,0.229
0,0,7808,0.632,0.299
0,0,7876,0.63,0.326
0,0,8142,0.556,0.446
0,0,8408,0.394,0.577
0,0,8675,0.356,0.58
0,0,8927,0.352,0.582
0,0,9194,0.359,0.583
0,0,9460,0.364,0.604
0,0,9726,0.367,0.649
0,0,10260,0.341,0.678
0,0,10527,0.3,0.717
0,0,10793,0.273,0.804
0,0,10926,0.243,0.85
0,0,11193,0.198,0.862
0,0,11309,-0.035,0.406
0,0,11342,-0.048,0.375
0,0,11375,-0.047,0.361
0,0,11509,-0.033,0.322
0,0,11560,-0.03,0.278
0,0,11642,-0.033,0.255
0,0,11709,-0.025,0.239
0,0,11775,-0.008,0.213
0,0,11842,0.018,0.156
0,0,11892,0.042,0.12
0,0,12026,0.143,0.195
0,0,12060,0.237,0.374
0,0,12109,0.256,0.407
0,0,12142,0.277,0.431
0,0,12192,0.282,0.461
0,0,12626,0.288,0.464
0,0,12660,0.312,0.477
0,0,13026,0.326,0.472
0,0,13227,0.336,0.472
0,0,13260,0.331,0.488
0,0,13293,0.325,0.5
0,0,13409,0.322,0.506
0,0,13460,0.328,0.486
0,0,13493,0.328,0.481
0,0,13527,0.317,0.475
0,0,13643,0.318,0.472
0,0,13743,0.322,0.481
0,0,14010,0.325,0.48
0,0,14543,0.344,0.472
0,0,14793,0.402,0.471
0,0,14893,0.39,0.486
0,0,14943,0.364,0.499
0,0,15326,0.35,0.507
0,0,15593,0.331,0.532
0,0,15860,0.335,0.549
0,0,16126,0.343,0.566
0,0,16393,0.349,0.59
0,0,16660,0.35,0.599
0,0,16926,0.359,0.617
0,0,17193,0.346,0.635
0,0,17460,0.315,0.642
0,0,17727,0.317,0.711
0,0,17993,0.303,0.66
0,0,18259,0.166,0.472
0,0,18526,0.083,0.338
0,0,18777,0.066,0.292
0,0,19044,0.127,0.261
0,0,19310,0.484,0.232
0,0,19577,0.604,0.212
0,0,19693,0.652,0.183
0,0,19827,0.758,0.304
0,0,19893,0.832,0.454
0,0,20060,0.832,0.5
0,0,20310,0.779,0.724
0,0,20510,0.802,0.856
0,0,20776,0.878,0.796
0,0,20960,0.95,0.723
0,0,21025,0.996,0.659
0,0,21277,0.993,0.638
0,0,21393,0.964,0.628
0,0,21460,0.951,0.594
0,0,21576,0.96,0.652
0,0,21843,0.94,0.698
0,0,21977,0.915,0.755
0,0,22243,0.904,0.731
0,0,22493,0.873,0.701
0,0,22759,0.755,0.697
0,0,23027,0.535,0.692
0,0,23293,0.512,0.713
0,0,23560,0.516,0.738
0,0,23826,0.535,0.796
0,0,24093,0.515,0.875
0,0,24610,0.491,0.794
0,0,25125,0.428,0.639
0,0,25393,0.428,0.563
0,0,25910,0.373,0.594
0,0,26159,0.338,0.633
0,0,26677,0.396,0.69
0,0,27177,0.43,0.753
0,0,27442,0.486,0.838
0,0,27693,0.485,0.884
0,0,27944,0.49,0.904
0,0,28227,0.426,0.834
0,0,28493,0.39,0.799
0,0,28744,0.388,0.768
0,0,29144,0.357,0.684
0,0,29409,0.366,0.642
0,0,29660,0.359,0.611
0,0,29944,0.356,0.607
0,0,30477,0.344,0.547
0,0,30743,0.442,0.517
0,0,30993,0.639,0.491
0,0,31260,0.642,0.496
0,0,31527,0.598,0.6
0,0,31793,0.646,0.61
0,0,32043,0.662,0.596
0,0,32310,0.711,0.426
0,0,32459,0.717,0.259
0,0,32593,0.389,0.656
0,0,32859,0.336,0.615
0,0,33394,0.291,0.801
0,0,33660,0.272,0.771
0,0,33777,0.258,0.739
0,0,34044,0.224,0.611
0,0,34292,0.178,0.541
0,0,34409,0.129,0.474
0,0,34443,0.091,0.426
0,0,34560,0.123,0.418
0,0,34658,0.507,0.439
0,0,34910,0.892,0.469
0,0,35160,0.401,0.56
0,0,35426,0.339,0.534
0,0,35677,0.312,0.511
0,0,35944,0.299,0.491
0,0,36208,0.276,0.472
0,0,36743,0.214,0.671
0,0,37009,0.229,0.615
0,0,37277,0.242,0.588
0,0,37543,0.227,0.618
0,0,37810,0.206,0.632
0,0,38077,0.169,0.597
0,0,38343,0.111,0.551
0,0,38593,0.157,0.521
0,0,38859,0.219,0.501
0,0,39392,0.262,0.484
0,0,39643,0.348,1.024
0,0,39911,0.371,0.656
1,0,0,0.431,0.189
1,0,63,0.421,0.223
1,0,229,0.432,0.244
1,0,261,0.443,0.261
1,0,463,0.428,0.288
1,0,495,0.362,0.408
1,0,527,0.343,0.412
1,0,596,0.34,0.423
1,0,629,0.329,0.414
1,0,1179,0.421,0.423
1,0,1713,0.35,0.401
1,0,1847,0.34,0.379
1,0,1895,0.315,0.371
1,0,1963,0.274,0.337
1,0,2030,0.292,0.358
1,0,2096,0.301,0.381
1,0,2363,0.309,0.386
1,0,2414,0.318,0.381
1,0,2445,0.324,0.384
1,0,2479,0.319,0.382
1,0,2513,0.316,0.383
1,0,2762,0.318,0.415
1,0,2913,0.313,0.444
1,0,3179,0.318,0.449
1,0,3396,0.343,0.452
1,0,3463,0.378,0.465
1,0,3696,0.386,0.466
1,0,3730,0.4,0.466
1,0,3796,0.391,0.459
1,0,4046,0.387,0.443
1,0,4080,0.382,0.438
1,0,4130,0.379,0.435
1,0,4229,0.387,0.438
1,0,4279,0.383,0.441
1,0,4546,0.384,0.446
1,0,4779,0.372,0.447
1,0,4846,0.354,0.429
1,0,4913,0.355,0.36
1,0,4946,0.399,0.348
1,0,5212,0.614,0.355
1,0,5380,0.784,0.343
1,0,5897,0.631,0.345
1,0,5947,0.424,0.342
1,0,5996,0.379,0.347
1,0,6097,0.392,0.346
1,0,6130,0.425,0.354
1,0,6212,0.437,0.368
1,0,6279,0.452,0.379
1,0,6380,0.455,0.396
1,0,6412,0.444,0.408
1,0,6545,0.437,0.429
1,0,6613,0.415,0.446
1,0,6679,0.397,0.46
1,0,6912,0.338,0.476
1,0,6946,0.307,0.487
1,0,7012,0.301,0.5
1,0,7046,0.296,0.516
1,0,7313,0.272,0.532
1,0,7397,0.279,0.543
1,0,7463,0.297,0.546
1,0,7597,0.283,0.534
1,0,7629,0.289,0.512
1,0,7830,0.402,0.459
1,0,7863,0.61,0.434
1,0,8030,0.645,0.468
1,0,8246,0.696,0.479
1,0,8279,0.774,0.494
1,0,8546,0.824,0.474
1,0,8764,0.427,0.617
1,0,8830,0.408,0.65
1,0,8863,0.393,0.668
1,0,9113,0.332,0.661
1,0,9380,0.31,0.655
1,0,9879,0.296,0.589
1,0,9912,0.317,0.474
1,0,10179,0.317,0.449
1,0,10479,0.323,0.448
1,0,10996,0.32,0.43
1,0,11530,0.314,0.414
1,0,11796,0.308,0.411
1,0,12313,0.32,0.403
1,0,12579,0.333,0.413
1,0,12845,0.319,0.401
1,0,12997,0.315,0.399
1,0,13179,0.319,0.397
1,0,13213,0.326,0.387
1,0,13246,0.322,0.383
1,0,13313,0.324,0.382
1,0,13379,0.323,0.39
1,0,13413,0.304,0.387
1,0,13446,0.296,0.383
1,0,13846,0.301,0.387
1,0,13913,0.323,0.395
1,0,13945,0.329,0.393
1,0,13979,0.329,0.402
1,0,14012,0.331,0.42
1,0,14313,0.325,0.446
1,0,14513,0.274,0.479
1,0,14546,0.249,0.497
1,0,14580,0.241,0.501
1,0,14812,0.27,0.511
1,0,14879,0.306,0.511
1,0,14912,0.321,0.529
1,0,14979,0.39,0.565
1,0,15046,0.386,0.559
1,0,15113,0.392,0.546
1,0,15464,0.37,0.541
1,0,15497,0.349,0.542
1,0,15797,0.338,0.54
1,0,15912,0.336,0.541
1,0,15946,0.343,0.53
1,0,15979,0.342,0.512
1,0,16012,0.352,0.498
1,0,16046,0.363,0.488
1,0,16079,0.365,0.478
1,0,16613,0.378,0.459
1,0,16863,0.398,0.464
1,0,17112,0.445,0.475
1,0,17146,0.489,0.495
1,0,17413,0.468,0.512
1,0,17597,0.432,0.52
1,0,17630,0.414,0.516
1,0,17664,0.404,0.51
1,0,17697,0.397,0.507
1,0,17812,0.388,0.51
1,0,17846,0.383,0.51
1,0,17963,0.385,0.509
1,0,18064,0.394,0.517
1,0,18145,0.406,0.529
1,0,18179,0.397,0.53
1,0,18246,0.402,0.535
1,0,18280,0.406,0.529
1,0,18346,0.424,0.532
1,0,18497,0.872,0.558
1,0,18530,0.882,0.558
1,0,18580,0.877,0.552
1,0,18613,0.886,0.555
1,0,18679,0.882,0.558
1,0,18712,0.867,0.557
1,0,19013,0.87,0.562
1,0,19279,0.885,0.562
1,0,19312,0.892,0.556
1,0,19379,0.894,0.556
1,0,19479,0.897,0.556
1,0,19547,0.901,0.552
1,0,19631,0.851,0.548
1,0,19664,0.811,0.547
1,0,19730,0.671,0.543
1,0,19797,0.64,0.532
1,0,19897,0.565,0.61
1,0,20197,0.785,0.671
1,0,20230,0.79,0.645
1,0,20262,0.81,0.643
1,0,20295,0.819,0.66
1,0,20330,0.835,0.647
1,0,20811,0.833,0.633
1,0,20897,0.824,0.632
1,0,20963,0.829,0.623
1,0,21031,0.456,0.64
1,0,21096,0.424,0.614
1,0,21197,0.415,0.588
1,0,21279,0.404,0.591
1,0,21346,0.387,0.588
1,0,21646,0.784,0.51
1,0,21797,0.816,0.51
1,0,21831,0.837,0.521
1,0,21897,0.841,0.528
1,0,21946,0.842,0.522
1,0,22013,0.844,0.519
1,0,22312,0.755,0.549
1,0,22397,0.551,0.579
1,0,22596,0.531,0.599
1,0,22630,0.511,0.616
1,0,22696,0.458,0.624
1,0,22763,0.358,0.636
1,0,23062,0.345,0.6
1,0,23179,0.333,0.573
1,0,23479,0.331,0.576
1,0,23746,0.306,0.572
1,0,24013,0.274,0.576
1,0,24046,0.319,0.587
1,0,24079,0.345,0.591
1,0,24146,0.344,0.6
1,0,24397,0.332,0.587
1,0,24930,0.333,0.572
1,0,25013,0.331,0.564
1,0,25046,0.303,0.529
1,0,25079,0.303,0.527
1,0,25112,0.307,0.52
1,0,25379,0.312,0.521
1,0,25446,0.317,0.532
1,0,25645,0.312,0.521
1,0,25897,0.313,0.51
1,0,25930,0.319,0.514
1,0,26030,0.32,0.516
1,0,26063,0.319,0.517
1,0,26097,0.315,0.517
1,0,26162,0.309,0.5
1,0,26197,0.309,0.479
1,0,26230,0.32,0.481
1,0,26597,0.325,0.484
1,0,26863,0.324,0.482
1,0,26896,0.328,0.476
1,0,26930,0.331,0.468
1,0,26963,0.345,0.481
1,0,27113,0.34,0.481
1,0,27179,0.329,0.468
1,0,27464,0.318,0.468
1,0,27997,0.323,0.475
1,0,28146,0.334,0.482
1,0,28179,0.333,0.494
1,0,28430,0.337,0.506
1,0,28464,0.348,0.52
1,0,28497,0.351,0.519
1,0,28797,0.355,0.508
1,0,28930,0.34,0.47
1,0,28997,0.331,0.461
1,0,29297,0.311,0.452
1,0,29346,0.291,0.438
1,0,29613,0.263,0.427
1,0,30131,0.285,0.474
1,0,30397,0.313,0.488
1,0,30929,0.302,0.483
1,0,31197,0.277,0.478
1,0,31463,0.275,0.473
1,0,31497,0.285,0.478
1,0,31564,0.286,0.489
1,0,31596,0.276,0.485
1,0,31630,0.271,0.497
1,0,31697,0.269,0.505
1,0,32230,0.252,0.494
1,0,32763,0.214,0.493
1,0,33030,0.183,0.508
1,0,33297,0.172,0.509
1,0,33331,0.164,0.506
1,0,33363,0.134,0.515
1,0,33513,0.102,0.522
1,0,33579,0.072,0.535
1,0,33612,0.064,0.543
1,0,33646,0.061,0.543
1,0,33830,0.043,0.543
1,0,33863,0.051,0.538
1,0,33931,0.133,0.567
1,0,33964,0.35,0.595
1,0,34046,0.352,0.555
1,0,34079,0.34,0.534
1,0,34346,0.229,0.36
1,0,34379,0.185,0.303
1,0,34480,0.195,0.299
1,0,34513,0.207,0.298
1,0,34764,0.202,0.322
1,0,34930,0.241,0.376
1,0,35197,0.277,0.463
1,0,35463,0.273,0.475
1,0,35729,0.285,0.49
1,0,35980,0.265,0.474
1,0,36230,0.27,0.477
1,0,36497,0.294,0.507
1,0,37530,0.295,0.482
1,0,38046,0.296,0.463
1,0,38563,0.299,0.45
1,0,38830,0.317,0.422
1,0,39095,0.308,0.438
1,0,39347,0.306,0.454
1,0,39612,0.309,0.458
1,0,40012,0.302,0.449
1,0,40279,0.302,0.441
1,0,40796,0.31,0.447
1,0,41096,0.31,0.45
1,0,41346,0.329,0.48
1,0,41614,0.361,0.497
1,0,41880,0.36,0.544
1,0,42529,0.341,0.553
1,0,42863,0.35,0.553
1,0,43129,0.346,0.545
1,0,43646,0.376,0.496
1,0,43914,0.365,0.486
1,0,44180,0.327,0.475
1,0,44446,0.303,0.469
1,0,44714,0.302,0.476
1,0,44981,0.308,0.471
1,0,45247,0.305,0.478
1,0,45763,0.269,0.504
1,0,46030,0.229,0.504
1,0,46296,0.286,0.508
1,0,46529,0.296,0.585
1,0,46596,0.373,0.635
1,0,46847,0.902,0.753
1,0,46981,0.901,0.694
1,0,47247,0.342,0.552
1,0,47512,0.446,0.49
1,0,47763,0.565,0.271
1,0,48013,0.576,0.153
1,0,48280,0.531,0.279
1,0,48547,0.524,0.443
1,0,48813,0.524,0.472
1,0,49081,0.623,0.466
1,0,49348,0.491,0.454
1,0,49613,0.472,0.48
1,0,50147,0.45,0.46
1,0,50679,0.374,0.471
1,0,50930,0.371,0.463
1,0,51196,0.352,0.517
1,0,51462,0.347,0.528
1,0,51679,0.341,0.491
1,0,51946,0.392,0.447
1,0,52213,0.432,0.456
1,0,52679,0.408,0.451
1,0,52829,0.403,0.405
1,0,52879,0.381,0.428
1,0,53012,0.359,0.451
1,0,53196,0.331,0.474
1,0,53230,0.326,0.481
1,0,53481,0.339,0.497
1,0,53663,0.361,0.491
1,0,53696,0.357,0.482
1,0,53947,0.361,0.462
1,0,53996,0.391,0.406
1,0,54113,0.399,0.438
1,0,54314,0.386,0.464
1,0,54379,0.362,0.468
1,0,54414,0.303,0.502
1,0,54947,0.282,0.488
1,0,55381,0.271,0.491
1,0,55447,0.265,0.534
1,0,55713,0.263,0.548
1,0,55963,0.264,0.543
1,0,56229,0.27,0.54
1,0,56496,0.256,0.531
1,0,56830,0.249,0.519
1,0,57097,0.253,0.507
1,0,57363,0.269,0.502
1,0,57614,0.283,0.497
1,0,57880,0.282,0.484
1,0,58147,0.27,0.476
1,0,58663,0.257,0.474
1,0,59181,0.27,0.474
2,0,0,0.739,0.345
2,0,0,0.689,0.384
2,0,10,0.661,0.417
2,0,44,0.646,0.441
2,0,77,0.639,0.451
2,0,111,0.634,0.459
2,0,144,0.634,0.467
2,0,177,0.627,0.474
2,0,210,0.614,0.478
2,0,244,0.571,0.511
2,0,278,0.565,0.508
2,0,311,0.564,0.507
2,0,344,0.556,0.506
2,0,378,0.54,0.511
2,0,410,0.523,0.518
2,0,444,0.508,0.529
2,0,477,0.497,0.54
2,0,511,0.484,0.548
2,0,544,0.472,0.551
2,0,578,0.451,0.56
2,0,611,0.449,0.561
2,0,644,0.454,0.565
2,0,677,0.458,0.577
2,0,710,0.461,0.589
2,0,744,0.464,0.597
2,0,778,0.463,0.605
2,0,811,0.462,0.611
2,0,844,0.463,0.62
2,0,877,0.466,0.628
2,0,911,0.47,0.634
2,0,945,0.475,0.64
2,0,978,0.482,0.647
2,0,1010,0.488,0.654
2,0,1044,0.493,0.662
2,0,1077,0.498,0.673
2,0,1111,0.502,0.686
2,0,1144,0.504,0.699
2,0,1178,0.504,0.711
2,0,1210,0.505,0.722
2,0,1244,0.51,0.732
2,0,1277,0.516,0.741
2,0,1311,0.533,0.75
2,0,1344,0.549,0.758
2,0,1378,0.565,0.765
2,0,1411,0.585,0.775
2,0,1444,0.602,0.786
2,0,1477,0.624,0.796
2,0,1510,0.645,0.801
2,0,1544,0.671,0.805
2,0,1577,0.689,0.807
2,0,1611,0.707,0.808
